#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000008585.1	PRJNA223	SAMN02603992		na	83331	1773	Mycobacterium tuberculosis CDC1551	strain=CDC1551		latest	Complete Genome	Major	Full	2004/08/04	ASM858v1	TIGR	GCF_000008585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/585/GCA_000008585.1_ASM858v1		
GCA_000009445.1	PRJEA18059	SAMEA2272684		na	410289	1773	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	strain=BCG Pasteur 1173P2		latest	Complete Genome	Major	Full	2007/01/08	ASM944v1	Mycobacterium bovis sequencing teams	GCF_000009445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/445/GCA_000009445.1_ASM944v1		
GCA_000010685.1	PRJDA31211	SAMD00060950		na	561275	1773	Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172	strain=Tokyo 172		latest	Complete Genome	Major	Full	2009/03/09	ASM1068v1	Japan BCG Laboratory	GCF_000010685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/685/GCA_000010685.1_ASM1068v1		
GCA_000016145.1	PRJNA18883	SAMN02603128		na	419947	1773	Mycobacterium tuberculosis H37Ra	strain=H37Ra; ATCC 25177		latest	Complete Genome	Major	Full	2007/05/31	ASM1614v1	Chinese National Human Genome Center at Shanghai	GCF_000016145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/145/GCA_000016145.1_ASM1614v1		
GCA_000016925.1	PRJNA15642	SAMN00103286		na	336982	1773	Mycobacterium tuberculosis F11	strain=F11		latest	Complete Genome	Major	Full	2007/06/07	ASM1692v1	Broad Institute	GCF_000016925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/925/GCA_000016925.1_ASM1692v1		
GCA_000023625.1	PRJNA21055	SAMN00763683		na	478434	1773	Mycobacterium tuberculosis KZN 1435	strain=KZN 1435		latest	Complete Genome	Major	Full	2009/07/09	ASM2362v1	Broad Institute	GCF_000023625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/625/GCA_000023625.1_ASM2362v1		
GCA_000152105.1	PRJNA43603	SAMN02595380	ADHQ00000000.1	na	675512	1773	Mycobacterium tuberculosis SUMu001	strain=SUMu001		latest	Scaffold	Major	Full	2010/10/19	ASM15210v1	Broad Institute	GCF_000152105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/105/GCA_000152105.1_ASM15210v1		
GCA_000152505.1	PRJNA16172	SAMN02595209	AAKR00000000.1	na	348776	1773	Mycobacterium tuberculosis C	strain=C		latest	Scaffold	Major	Full	2005/11/10	ASM15250v1	Broad Institute	GCF_000152505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/505/GCA_000152505.1_ASM15250v1	many frameshifted proteins	
GCA_000153685.2	PRJNA17353	SAMN03081423		na	395095	1773	Mycobacterium tuberculosis str. Haarlem	strain=Haarlem		latest	Complete Genome	Major	Full	2013/09/11	ASM15368v2	Broad Institute	GCF_000153685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/685/GCA_000153685.2_ASM15368v2		
GCA_000154585.2	PRJNA21053	SAMN03081422		na	478433	1773	Mycobacterium tuberculosis KZN 4207	strain=KZN 4207		latest	Complete Genome	Major	Full	2011/04/07	ASM15458v2	Broad Institute	GCF_000154585.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/585/GCA_000154585.2_ASM15458v2		
GCA_000154605.2	PRJNA21057	SAMN00103288		na	478435	1773	Mycobacterium tuberculosis KZN 605	strain=KZN 605		latest	Complete Genome	Major	Full	2012/06/19	ASM15460v2	The Broad Institute Genome Sequencing Platform	GCF_000154605.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/605/GCA_000154605.2_ASM15460v2		
GCA_000155145.1	PRJNA29165	SAMN02595224	ABLL00000000.1	na	515615	1773	Mycobacterium tuberculosis 94_M4241A	strain=94_M4241A		latest	Scaffold	Major	Full	2008/06/06	ASM15514v1	Broad Institute	GCF_000155145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/145/GCA_000155145.1_ASM15514v1	many frameshifted proteins	
GCA_000155165.1	PRJNA29167	SAMN02595225	ABLM00000000.1	na	515616	1773	Mycobacterium tuberculosis 02_1987	strain=02_1987		latest	Scaffold	Major	Full	2008/06/06	ASM15516v1	Broad Institute	GCF_000155165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/165/GCA_000155165.1_ASM15516v1	many frameshifted proteins	
GCA_000155185.1	PRJNA29169	SAMN02595226	ABLN00000000.1	na	515617	1773	Mycobacterium tuberculosis T92	strain=T92		latest	Scaffold	Major	Full	2008/06/06	ASM15518v1	Broad Institute	GCF_000155185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/185/GCA_000155185.1_ASM15518v1	many frameshifted proteins	
