GCA_000652195.1	PRJNA235455	SAMN02585945	Scaffold	30/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652735.1	PRJNA235485	SAMN02585975	Scaffold	4/7/2013	South Africa: Thulasizwe Hopsital	NULL	missing
GCA_000653875.1	PRJNA235565	SAMN02586055	Scaffold	10/8/2013	South Africa: King Edward VIII Hospital	NULL	sputum
GCA_000654175.1	PRJNA235587	SAMN02586077	Scaffold	1/8/2013	South Africa: FOSA Hospital	NULL	sputum
GCA_000654235.1	PRJNA235620	SAMN02598956	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654255.1	PRJNA235621	SAMN02598957	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654275.1	PRJNA235623	SAMN02598958	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654295.1	PRJNA235624	SAMN02598959	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654315.1	PRJNA235625	SAMN02598960	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654335.1	PRJNA235626	SAMN02598961	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654355.1	PRJNA235627	SAMN02598962	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654375.1	PRJNA235628	SAMN02598963	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654395.1	PRJNA235629	SAMN02598964	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654415.1	PRJNA235630	SAMN02598965	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654435.1	PRJNA235631	SAMN02598966	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654455.1	PRJNA235632	SAMN02598967	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654475.1	PRJNA235633	SAMN02598968	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654515.1	PRJNA235635	SAMN02598970	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654535.1	PRJNA235636	SAMN02598971	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654555.1	PRJNA235637	SAMN02598972	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654575.1	PRJNA235638	SAMN02598973	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654595.1	PRJNA235639	SAMN02598974	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654615.1	PRJNA235640	SAMN02598975	Scaffold	2001	India: Tiruvallur	NULL	Sputum
GCA_000654635.1	PRJNA235643	SAMN02598978	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654655.1	PRJNA235644	SAMN02598979	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654675.1	PRJNA235645	SAMN02598980	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654695.1	PRJNA235646	SAMN02598981	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654715.1	PRJNA235647	SAMN02598982	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654735.1	PRJNA235648	SAMN02598983	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654755.1	PRJNA235649	SAMN02598984	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654775.1	PRJNA235650	SAMN02598985	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654795.1	PRJNA235651	SAMN02598986	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654815.1	PRJNA235652	SAMN02598987	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654855.1	PRJNA235654	SAMN02598989	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654875.1	PRJNA235655	SAMN02598990	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654915.1	PRJNA235657	SAMN02598992	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654935.1	PRJNA235658	SAMN02598993	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654955.1	PRJNA235659	SAMN02598994	Scaffold	2002	India: Tiruvallur	NULL	Sputum
GCA_000654975.1	PRJNA235660	SAMN02598995	Scaffold	2002	India: Tiruvallur	NULL	Sputum
