GCA_000633085.1	PRJNA241077	SAMN02713587	Contig	31/10/2008	Georgia: Tbilissi	pulmonary tuberculosis	The strain was isolated from a sputum of a patient with pulmonary tuberculosis
GCA_000009445.1	PRJEA18059	SAMEA2272684	Complete Genome	NULL	NULL	NULL	NULL
GCA_000649215.1	PRJNA233355	SAMN02567703	Scaffold	4/1/2013	Romania	NULL	sputum
GCA_000649235.1	PRJNA233358	SAMN02567706	Scaffold	13/5/2013	Romania	NULL	sputum
GCA_000649255.1	PRJNA233359	SAMN02567707	Scaffold	15/2/2013	Romania	NULL	sputum
GCA_000649275.1	PRJNA233360	SAMN02567708	Scaffold	26/2/2013	Romania	NULL	sputum
GCA_000649295.1	PRJNA233361	SAMN02567709	Scaffold	5/2/2013	Romania	NULL	sputum
GCA_000649315.1	PRJNA233362	SAMN02567710	Scaffold	15/7/2013	Romania	NULL	sputum
GCA_000649335.1	PRJNA233364	SAMN02567712	Scaffold	12/3/2013	Romania	NULL	sputum
GCA_000649355.1	PRJNA233365	SAMN02567713	Scaffold	7/3/2013	Romania	NULL	sputum
GCA_000649375.1	PRJNA233368	SAMN02567716	Scaffold	26/2/2013	Romania	NULL	sputum
GCA_000649395.1	PRJNA233371	SAMN02567719	Scaffold	16/2/2013	Romania	NULL	sputum
GCA_000649415.1	PRJNA233373	SAMN02567721	Scaffold	8/2/2013	Romania	NULL	sputum
GCA_000649435.1	PRJNA233374	SAMN02567722	Scaffold	4/4/2013	Romania	NULL	sputum
GCA_000649455.1	PRJNA233376	SAMN02567724	Scaffold	14/3/2013	Romania	NULL	sputum
GCA_000649475.1	PRJNA233377	SAMN02567725	Scaffold	17/1/2013	Romania	NULL	sputum
GCA_000649495.1	PRJNA233378	SAMN02567726	Scaffold	4/1/2013	Romania	NULL	sputum
GCA_000649515.1	PRJNA233379	SAMN02567727	Scaffold	28/6/2013	Romania	NULL	sputum
GCA_000649535.1	PRJNA233380	SAMN02567728	Scaffold	15/2/2013	Romania	NULL	sputum
GCA_000649555.1	PRJNA233381	SAMN02567729	Scaffold	15/1/2013	Romania	NULL	sputum
GCA_000649575.1	PRJNA233382	SAMN02567730	Scaffold	28/1/2013	Romania	NULL	sputum
GCA_000649595.1	PRJNA233383	SAMN02567731	Scaffold	14/12/2013	Romania	NULL	sputum
GCA_000649615.1	PRJNA233384	SAMN02567732	Scaffold	25/1/2013	Romania	NULL	sputum
GCA_000649635.1	PRJNA233392	SAMN02567760	Scaffold	5/1/2006	NULL	NULL	Sputum
GCA_000649655.1	PRJNA233393	SAMN02567761	Scaffold	4/6/2007	NULL	NULL	Bronchial wash
GCA_000649675.1	PRJNA233394	SAMN02567762	Scaffold	17/10/2006	NULL	NULL	Sputum
GCA_000649695.1	PRJNA233397	SAMN02567765	Scaffold	13/1/2006	NULL	NULL	Sputum
GCA_000649715.1	PRJNA233398	SAMN02567766	Scaffold	6/7/2001	NULL	NULL	Sputum
GCA_000649735.1	PRJNA233399	SAMN02567767	Scaffold	5/1/2004	NULL	NULL	Sputum
GCA_000649755.1	PRJNA234544	SAMN02584583	Scaffold	10/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649775.1	PRJNA234545	SAMN02584584	Scaffold	10/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649795.1	PRJNA234546	SAMN02584585	Scaffold	10/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649815.1	PRJNA234549	SAMN02584588	Scaffold	11/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000649835.1	PRJNA234551	SAMN02584589	Scaffold	10/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649855.1	PRJNA234552	SAMN02584590	Scaffold	13/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649875.1	PRJNA234553	SAMN02584591	Scaffold	24/1/2011	Moldova: Chisinau	NULL	NULL
GCA_000649895.1	PRJNA234554	SAMN02584592	Scaffold	16/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649915.1	PRJNA234555	SAMN02584593	Scaffold	14/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649935.1	PRJNA234556	SAMN02584594	Scaffold	1/1/2011	Moldova: Chisinau	NULL	NULL
GCA_000649955.1	PRJNA234557	SAMN02584595	Scaffold	1/1/2011	Moldova: Chisinau	NULL	NULL
GCA_000649975.1	PRJNA234559	SAMN02584597	Scaffold	17/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000649995.1	PRJNA234560	SAMN02584598	Scaffold	6/12/2010	Moldova: Chisinau	NULL	NULL
